Id;Nom;Orientation;Alpi;Ski;Deniv.plus;Depart.id;Depart.altitude;Sommet.id;Sommet.nom;Sommet.longitude;Sommet.latitude;Sommet.altitude;M01;M02;M03;M04;M05;M06;M07;M08;M09;M10;M11;M12;S1999-2000;S2000-2001;S2001-2002;S2002-2003;S2003-2004;S2004-2005;S2005-2006;S2006-2007;S2007-2008;S2008-2009;S2009-2010;S2010-2011;S2011-2012;S2012-2013;S2013-2014;S2014-2015;S2015-2016;S2016-2017;S2017-2018;S2018-2019;S2019-2020;S2020-2021
2419;breche-portetta;T;F;4.3;1450;699;1410;1875;Brêche Portetta;6,68972;45,3786;2651;13;23;32;10;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;5;2;11;4;11;11;10;4;5;4;7;7;1;3
2479;pointe-de-la-sechette;NW;R;2.2;982;54;1644;1912;Pointe de la Séchette;6,77889;45,4025;2626;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;3;0;1
2526;aiguille-doran;SE;PD+;4.1;1780;59;1209;1944;Aiguille Doran;6,67806;45,2522;3041;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2542;petit-mont-blanc;T;R;2.1;1000;1148;1722;1953;Petit Mont Blanc;6,68611;45,3558;2677;8;5;2;7;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;1;4;2;4;1;3;4;2;0;2;3;1;1;1
2630;col-de-la-montee-du-fond;NW;R;2.1;965;358;2300;2017;Col de la montée du Fond;6,58222;45,2667;2977;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2848;pointe-de-la-met;SE;F;3.1;1200;685;1800;2177;Pointe de la Met;7,01611;45,3811;3041;1;3;4;2;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;2;0;1;3;0;2;1;0;0;1;1
2967;tete-d-aussois;S;PD-;4.1;1600;46;1530;1677;Tête d'Aussois;6,7014;45,2919;3126;2;0;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;2;0;0;2;2;0
3064;becca-motta;N;F;3.2;1570;310;1475;2325;Becca Motta;6,748;45,434;3045;3;4;11;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;4;5;3;3;2;0;3;0;0
3084;pointe-du-charbonnier;N;F;3.1;1400;1285;2120;2340;Pointe du Charbonnier;6,90111;45,3806;3311;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0
3098;col-du-tougne;N;F;2.3;1670;310;1475;2349;Col du Tougne;6,78222;45,4136;3136;1;3;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;2;2;0;2;4;1;1;1;0
3103;aiguille-rouge;SW;F;2.3;1150;52;2150;2353;Aiguille Rouge;6,8483;45,5531;3227;2;2;0;2;4;0;0;0;0;3;2;3;0;0;0;0;0;0;0;1;1;0;0;1;2;2;2;0;1;0;0;0;1;7
3123;roc-des-saint-peres;NE;PD;4.3;1170;358;2300;2365;Roc des Saint-Pères;6,61999;45,2809;3470;0;0;0;1;12;10;1;0;0;1;0;1;0;0;0;0;0;0;0;0;2;1;2;4;1;5;0;1;2;5;2;0;0;1
3124;grande-casse;N;D-;5.4;2200;54;1644;389;Grande Casse;6,8275;45,4051;3855;7;7;26;100;95;23;0;0;0;0;3;1;0;1;0;2;2;5;6;16;22;22;22;11;19;15;21;17;24;16;16;13;12;0
3128;pointe-de-lanserlia;E;R;2.2;1570;56;1343;2375;Pointe de Lanserlia;6,84944;45,3408;2909;0;2;0;7;5;4;0;0;0;1;3;2;0;0;0;0;0;0;0;0;1;3;0;2;2;2;2;0;3;3;2;3;1;0
3139;grand-roc;SE;F;3.1;1790;46;1530;1231;Grand Roc;6,6883;45,2655;3316;0;0;1;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;2;1;0;0;0
3296;tougnete;W;R;2.1;1000;1450;1434;2521;Tougnète;6,5588;45,3633;2434;4;4;1;0;0;0;0;0;0;1;5;11;0;0;0;0;0;0;0;0;0;1;0;2;0;1;2;3;11;4;0;0;0;2
3301;col-des-fours;W;R;2.2;1100;317;1885;2520;Col des Fours;7,0072;45,3933;2976;2;1;3;3;3;10;1;1;0;1;4;3;0;0;0;0;0;0;0;0;0;1;1;5;5;4;3;1;4;3;1;1;3;0
3361;dent-du-villard;W;PD;4.3;800;1148;1722;2576;Dent du Villard;6,67591;45,4206;2284;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
3507;geffriand;NE;R;2.1;950;1578;1430;2667;Geffriand;6,4864;45,3365;2396;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;2;0;1;0;0;1
3554;col-de-napremont;NE;R;1.3;800;699;1410;2698;Col de Napremont;6,70157;45,3791;2185;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0
